Order_ID,Order_Date,Product,Category,Region,State,Customer_Segment,Quantity,Unit_Price,Sales,Discount,Profit
ORD10001,2023-04-08,Backpack,Accessories,East,Odisha,Small Business,1,1519.05,1215.24,0.2,221.07
ORD10002,2025-02-03,Notebook,Office Supplies,West,Gujarat,Consumer,1,374.62,318.43,0.15,65.12
ORD10003,2024-03-17,Backpack,Accessories,East,Odisha,Consumer,1,1661.92,1412.63,0.15,260.28
ORD10004,2024-08-30,Smartphone,Electronics,West,Rajasthan,Small Business,2,27653.85,49776.94,0.1,6357.41
ORD10005,2024-02-03,Office Chair,Furniture,South,Telangana,Consumer,4,9956.32,31860.23,0.2,4916.55
ORD10006,2025-01-18,Tablet,Electronics,South,Telangana,Consumer,3,23781.22,67776.48,0.05,8413.28
ORD10007,2024-09-10,Notebook,Office Supplies,West,Gujarat,Small Business,4,365.21,1241.71,0.15,257.01
ORD10008,2025-02-06,Tablet,Electronics,South,Karnataka,Corporate,2,24429.3,48858.61,0.0,6889.73
ORD10009,2025-05-23,Backpack,Accessories,West,Gujarat,Corporate,2,1732.27,3118.08,0.1,579.57
ORD10010,2025-05-05,Headphones,Electronics,North,Punjab,Consumer,4,3028.8,10903.67,0.1,1476.81
ORD10011,2024-09-11,Desk,Furniture,North,Punjab,Consumer,4,11556.14,46224.57,0.0,8187.78
ORD10012,2023-02-03,Mouse,Electronics,West,Maharashtra,Consumer,2,935.8,1778.01,0.05,261.11
ORD10013,2023-05-19,Desk,Furniture,East,Bihar,Corporate,3,12438.5,37315.51,0.0,6513.58
ORD10014,2024-03-21,Smartphone,Electronics,North,Haryana,Consumer,4,26948.54,97014.74,0.1,13602.55
ORD10015,2024-06-29,Notebook,Office Supplies,South,Tamil Nadu,Consumer,2,347.77,660.76,0.05,127.39
ORD10016,2023-11-27,Keyboard,Electronics,North,Punjab,Small Business,5,1669.61,7930.65,0.05,1237.09
ORD10017,2023-10-16,Backpack,Accessories,South,Karnataka,Consumer,4,1663.2,5654.87,0.15,1117.43
ORD10018,2023-10-26,Notebook,Office Supplies,North,Haryana,Corporate,2,333.36,566.72,0.15,115.94
ORD10019,2024-06-24,Notebook,Office Supplies,East,Odisha,Corporate,1,343.3,343.3,0.0,76.45
ORD10020,2024-10-02,Backpack,Accessories,North,Delhi,Consumer,3,1851.39,5554.17,0.0,1011.79
ORD10021,2025-05-19,Headphones,Electronics,South,Karnataka,Corporate,3,3677.84,11033.53,0.0,1301.27
ORD10022,2024-01-16,Office Chair,Furniture,South,Tamil Nadu,Consumer,4,9857.78,37459.55,0.05,6807.01
ORD10023,2023-06-26,Desk,Furniture,East,Odisha,Consumer,5,11601.26,55105.97,0.05,9554.72
ORD10024,2023-12-30,Keyboard,Electronics,West,Maharashtra,Consumer,5,1650.87,8254.33,0.0,1095.39
ORD10025,2023-05-11,Monitor,Electronics,North,Punjab,Corporate,5,16179.29,68761.97,0.15,7682.49
ORD10026,2025-04-22,Headphones,Electronics,North,Delhi,Consumer,3,3270.01,8338.53,0.15,966.9
ORD10027,2023-08-11,Mouse,Electronics,East,West Bengal,Corporate,5,852.86,4264.28,0.0,567.9
ORD10028,2023-10-08,Monitor,Electronics,South,Karnataka,Small Business,5,16894.91,71803.37,0.15,9170.76
ORD10029,2023-05-08,Desk,Furniture,South,Telangana,Corporate,2,13062.04,26124.07,0.0,5304.14
ORD10030,2024-12-26,Keyboard,Electronics,South,Telangana,Consumer,5,2037.73,8660.37,0.15,1098.2
ORD10031,2025-03-29,Headphones,Electronics,South,Tamil Nadu,Small Business,1,3249.48,2924.53,0.1,371.65
ORD10032,2023-08-04,Office Chair,Furniture,East,Odisha,Consumer,1,9457.09,9457.09,0.0,1793.62
ORD10033,2025-11-28,Smartphone,Electronics,South,Tamil Nadu,Corporate,4,26032.94,88511.99,0.15,12678.33
ORD10034,2024-09-28,Smartphone,Electronics,East,Bihar,Consumer,1,29094.27,27639.56,0.05,3636.95
ORD10035,2023-05-25,Office Chair,Furniture,East,Odisha,Small Business,3,8026.76,24080.28,0.0,4422.04
ORD10036,2023-11-10,Smartphone,Electronics,East,Bihar,Consumer,1,28511.23,22808.99,0.2,3516.07
ORD10037,2023-07-18,Mouse,Electronics,East,Bihar,Consumer,4,922.72,3690.89,0.0,476.36
ORD10038,2025-05-10,Monitor,Electronics,West,Gujarat,Corporate,2,13725.1,23332.67,0.15,3795.42
ORD10039,2023-11-14,Keyboard,Electronics,North,Punjab,Consumer,1,1546.89,1469.54,0.05,247.53
ORD10040,2024-12-15,Monitor,Electronics,North,Haryana,Small Business,4,18486.08,73944.32,0.0,9943.76
ORD10041,2024-01-28,Smartphone,Electronics,North,Haryana,Consumer,5,29741.24,148706.18,0.0,19979.81
